,Time,Motor,Brake,Distance,Safety,Door,Resv-1,Resv-2,Resv-3,Kurtosis,SAD,Var,Mean,FFT-Motor Freq,FFT-Motor Mag,E,P2P,Skewness,MAD,FFT-Resv1 Freq,CF,IF,FFT-Resv1 Mag,SF,FFT-Resv2 Freq,FFT-Resv2 Mag
0,2024-04-03 15:19:05:000,11731.0,898.0,0.0,1.0,4.0,11749.0,11742.0,1.0,7519.0,683.0,2343.0,1269.0,97.0,9997.0,0.0,0.0,0.0,0.0,97.0,683.0,1269.0,10013.0,0.0,97.0,10013.0
1,2024-04-03 15:19:05:050,11730.0,899.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
2,2024-04-03 15:19:05:100,11731.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
3,2024-04-03 15:19:05:150,11730.0,900.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
4,2024-04-03 15:19:05:200,11730.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
5,2024-04-03 15:19:05:250,11730.0,901.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
6,2024-04-03 15:19:05:300,11730.0,901.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
7,2024-04-03 15:19:05:350,11730.0,901.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
8,2024-04-03 15:19:05:400,11730.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
9,2024-04-03 15:19:05:450,11730.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
10,2024-04-03 15:19:05:500,11730.0,902.0,0.0,1.0,1.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
11,2024-04-03 15:19:05:550,11730.0,902.0,0.0,1.0,1.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
12,2024-04-03 15:19:05:600,11730.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
13,2024-04-03 15:19:05:650,11730.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
14,2024-04-03 15:19:05:700,11730.0,902.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
15,2024-04-03 15:19:05:750,11730.0,902.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
16,2024-04-03 15:19:05:800,11730.0,902.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
17,2024-04-03 15:19:05:850,11730.0,902.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
18,2024-04-03 15:19:05:900,11730.0,901.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
19,2024-04-03 15:19:05:950,11730.0,901.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
20,2024-04-03 15:19:06:000,11730.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,47558.0,683.0,2246.0,1269.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1269.0,10014.0,0.0,97.0,10014.0
21,2024-04-03 15:19:06:050,11731.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
22,2024-04-03 15:19:06:100,11730.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
23,2024-04-03 15:19:06:150,11730.0,900.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
24,2024-04-03 15:19:06:200,11730.0,900.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
25,2024-04-03 15:19:06:250,11730.0,899.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
26,2024-04-03 15:19:06:300,11730.0,899.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
27,2024-04-03 15:19:06:350,11730.0,899.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
28,2024-04-03 15:19:06:400,11730.0,898.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
29,2024-04-03 15:19:06:450,11730.0,898.0,0.0,1.0,1.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
30,2024-04-03 15:19:06:500,11730.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
31,2024-04-03 15:19:06:550,11730.0,898.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
32,2024-04-03 15:19:06:600,11730.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
33,2024-04-03 15:19:06:650,11731.0,897.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
34,2024-04-03 15:19:06:700,11731.0,897.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
35,2024-04-03 15:19:06:750,11731.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
36,2024-04-03 15:19:06:800,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
37,2024-04-03 15:19:06:850,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
38,2024-04-03 15:19:06:900,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
39,2024-04-03 15:19:06:950,11731.0,897.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
40,2024-04-03 15:19:07:000,11731.0,897.0,0.0,1.0,4.0,11749.0,11743.0,1.0,30761.0,683.0,2148.0,1269.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1464.0,10014.0,0.0,97.0,10014.0
41,2024-04-03 15:19:07:050,11731.0,897.0,0.0,1.0,4.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
42,2024-04-03 15:19:07:100,11731.0,897.0,0.0,1.0,4.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
43,2024-04-03 15:19:07:150,11731.0,898.0,0.0,1.0,7.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
44,2024-04-03 15:19:07:200,11731.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
45,2024-04-03 15:19:07:250,11731.0,898.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
46,2024-04-03 15:19:07:300,11730.0,899.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
47,2024-04-03 15:19:07:350,11730.0,899.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
48,2024-04-03 15:19:07:400,11731.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
49,2024-04-03 15:19:07:450,11731.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
50,2024-04-03 15:19:07:500,11731.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
51,2024-04-03 15:19:07:550,11731.0,901.0,0.0,1.0,2.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
52,2024-04-03 15:19:07:600,11731.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
53,2024-04-03 15:19:07:650,11731.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
54,2024-04-03 15:19:07:700,11731.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
55,2024-04-03 15:19:07:750,11731.0,903.0,0.0,1.0,1.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
56,2024-04-03 15:19:07:800,11731.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
57,2024-04-03 15:19:07:850,11731.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
