Time,Motor,CF,IF,Brake,E,Mean,Skewness,MAD,SF,Distance,SAD,P2P,Var,Kurtosis,Safety,Door,Resv-1,Resv-2,Resv-3,FFT-Motor Freq,FFT-Motor Mag,FFT-Resv1 Freq,FFT-Resv1 Mag,FFT-Resv2 Freq,FFT-Resv2 Mag,door,workMode,vibration_y,openCloseDoorNum,floor,cumulativeRunNum,vibration_z,vibration_x,velocity,motion,mileage
2024-04-19 20:58:54:000,0.30518509,2.0,1000.0,0.0537125732,76.0,11.0,0.0,264.0,80.0,0.0,76.0,825.0,406.0,486.0,0.0,0.49562056179999997,0.29908138819999996,0.30518509,0.0076296273,0.8,0.488296151615952,0.49,0.2990813928647706,0.42,30.396435438093015,,,,,,,,,,,
2024-04-19 20:58:54:050,0.3112887918,2.0,1000.0,0.0537125732,94.0,13.0,1.0,220.0,80.0,0.0,94.0,826.0,406.0,386.0,0.0,0.49562056179999997,0.30518509,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:100,0.3112887918,111.0,1027.0,0.0537125732,407.0,268.0,1373.0,133.0,64.0,0.0,407.0,1279.0,492.0,583.0,0.0,0.6164738515,0.29908138819999996,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:150,0.3112887918,10.0,1000.0,0.0537125732,336.0,57.0,17.0,238.0,52.0,0.0,336.0,1953.0,624.0,102.0,0.0,0.7629626875,0.30518509,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:200,0.30518509,9.0,1000.0,0.0537125732,304.0,37.0,12.0,153.0,53.0,0.0,304.0,1901.0,616.0,0.0,0.0,0.7519760248,0.29908138819999996,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:250,0.3112887918,10.0,1000.0,0.0549333135,316.0,37.0,12.0,155.0,52.0,0.0,316.0,1944.0,623.0,0.0,0.0,0.7605212069,0.30518509,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:300,0.30518509,19.0,1000.0,0.0537125732,536.0,124.0,76.0,586.0,46.0,0.0,536.0,2433.0,697.0,0.0,0.0,0.8508559891,0.29908138819999996,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:350,0.3112887918,13.0,1000.0,0.0537125732,449.0,58.0,24.0,183.0,48.0,0.0,449.0,2311.0,679.0,0.0,0.0,0.8288826637,0.30518509,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:400,0.30518509,12.0,1000.0,0.0537125732,418.0,48.0,21.0,159.0,48.0,0.0,418.0,2276.0,674.0,0.0,0.0,0.8227789622,0.29908138819999996,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:54:450,0.3112887918,13.0,1000.0,0.0537125732,437.0,47.0,21.0,159.0,48.0,0.0,437.0,2294.0,677.0,0.0,0.0,0.8264411831,0.30518509,0.30518509,0.0076296273,,,,,,,,,,,,,,,,,
